group_label,model_name,parameter_left,parameter_right,correlation
31-40,bose_2c,temperature_2,norm_2,-0.9889090655482728
31-40,bose_2c,temperature_2,temperature_2,0.9999999999999998
31-40,bose_2c,temperature_2,U_2,-0.044133613003777133
31-40,bose_2c,U_2,norm_1,0.0008050415528068517
31-40,bose_2c,U_2,temperature_1,-0.0005723487315798352
31-40,bose_2c,U_2,U_1,-3.0132859151952966e-05
31-40,bose_2c,U_2,norm_2,-0.0005875900638656487
31-40,bose_2c,U_2,temperature_2,-0.044133613003777133
31-40,bose_2c,U_2,U_2,1.0
31-40,tsallis_2c,norm_1,norm_1,1.0
